anio,codigo_depto,codigo_muni,codigo_evento,num_casos,porcentaje_mun
448931,18955,19050890,91906,291.0,0.018325860244848606
10063,5005,378900,2763,5.0,0.00031487732379464965
803422,30324,30654372,154617,722.0,0.0454682855559474
463112,1840,2031360,94333,290.0,0.018262884780089677
660512,7544,7811320,127119,383.0,0.024119603002670163
3834002,144704,146291936,718666,9634.0,0.6067056274875309
2998229,22335,22336489,587190,5020.0,0.3161368330898282
116765,870,918256,25152,63.0,0.003967454279812585
1812273,11700,12452400,352074,1900.0,0.11965338304196685
563780,3640,3874640,115174,362.0,0.022797118242732634
2849290,7075,8259355,548852,3761.0,0.23685072295833542
527492,3930,4148770,107310,387.0,0.02437150486170588
505355,3765,3975087,97994,339.0,0.021348682553277244
157060,1170,1235442,30202,89.0,0.005604816363544763
243605,10285,10333400,48307,143.0,0.009005491460526979
894093,2220,2570316,174865,788.0,0.04962466623003677
235556,1755,1850940,46945,137.0,0.008627638671973399
1586537,40976,41636344,311839,1635.0,0.10296488488085041
601966,7475,7725861,115405,455.0,0.028653836465313113
604073,7500,7752300,118667,401.0,0.0252531613683309
4022,2002,151608,914,2.0,0.00012595092951785984
352360,13300,13447875,62896,234.0,0.014736258753589603
503283,3750,3960500,107165,360.0,0.022671167313214773
374551,4650,4807170,73260,243.0,0.015303037936419971
350250,4698,4837200,71554,209.0,0.013161872134616353
22163,11011,826914,3766,11.0,0.000692730112348229
225469,3024,3114720,46151,124.0,0.00780895763010731
354345,880,1028192,69818,204.0,0.012846994810821705
388561,9650,9721410,82454,250.0,0.01574386618973248
1107493,24200,24665850,221807,840.0,0.052899390397501134
1284615,3190,3730386,242590,1148.0,0.07229583354325156
6043,3003,227574,1112,4.0,0.0002519018590357197
424812,9284,9464405,79896,257.0,0.016184694443044993
449058,1784,1973327,85254,269.0,0.01694040002015215
759110,1885,2206958,160259,623.0,0.039233714544813336
1073234,12259,12714715,205949,861.0,0.05422187515743866
364418,12308,12462755,70265,239.0,0.01505113607738425
362421,13140,13293720,67407,246.0,0.015491964330696762
815579,34830,35180325,173126,637.0,0.040115371051438364
4770208,47380,47382369,900643,12750.0,0.8029371756763566
712775,3668,3971608,138938,473.0,0.02978739483097385
589953,1465,1716394,116746,489.0,0.030795002267116733
819506,29711,30061427,160791,675.0,0.0425084387122777
936231,4505,4866670,190586,639.0,0.04024132198095622
946688,470470,35655140,190730,675.0,0.0425084387122777
742979,5535,5852709,148805,544.0,0.03425865282885788
511419,6350,6568948,104354,365.0,0.02298604463700942
529522,19988,20214969,98191,355.0,0.02235628998942012
98655,3332,3374483,20998,52.0,0.003274724167464356
326180,4050,4190454,63796,195.0,0.012280215627991333
551676,4658,4895558,106400,420.0,0.026449695198750567
191292,475,557935,38198,102.0,0.006423497405410853
618078,23332,23598783,121052,403.0,0.02537911229784876
261781,7020,7133230,51007,168.0,0.010579878079500227
722810,6821,7124355,137415,540.0,0.034006750969822155
648402,4830,4961054,129594,445.0,0.028024081817723815
1407515,17475,18064257,273890,1342.0,0.08451307370648395
2029734,54432,55312992,387291,2253.0,0.14188372210186911
839585,35862,36231045,169042,614.0,0.03866693536198297
124836,1550,1604002,24046,67.0,0.004219356138848304
551706,20002,20240380,105692,414.0,0.026071842410196985
1731719,14620,15370780,322058,1921.0,0.12097586780190436
3141025,83359,84500692,597253,2254.0,0.14194669756662806
638239,7925,8201741,124158,452.0,0.028464910071036322
400691,14527,14700727,78021,260.0,0.01637362083732178
5076303,126050,126052521,960360,18307.0,1.15289183334173
442968,9020,9211840,82263,293.0,0.018451811174366468
1242457,15425,15964875,242676,1283.0,0.0807975212857071
839630,10425,10791126,161364,712.0,0.044838530908358105
287907,2145,2270697,60251,161.0,0.010139049826187716
861724,21400,21704308,173278,657.0,0.04137488034661696
863737,7293,7669233,157989,698.0,0.043956874401733084
1057111,35700,36152025,210891,991.0,0.062408685576099555
845707,10500,10871700,168622,641.0,0.040367272910474074
569822,14716,14966455,116714,406.0,0.02556803869212555
485319,9881,10094285,95163,316.0,0.019900246863821854
388593,965,1135805,85496,264.0,0.0166255226963575
1649103,4095,4821453,325812,1759.0,0.11077384251095773
56353,2716,2740892,10199,32.0,0.0020152148722857575
974524,2420,2850760,193526,814.0,0.051262028313768956
730809,1815,2139159,143572,529.0,0.03331402085747393
2945829,124355,124356463,561507,3798.0,0.23918081515441583
744987,28120,28449300,142851,575.0,0.036210892236384705
2444416,92264,93346888,461569,3648.0,0.22973449544057634
434903,2808,3001104,83195,279.0,0.017570154667741446
597999,20196,20461815,114764,445.0,0.028024081817723815
229614,5358,5467440,43959,133.0,0.00837573681293768
1085175,2695,3177405,221474,1056.0,0.06650209078543
1630983,61560,62284950,312937,1699.0,0.10699531462542194
418747,3120,3306576,78119,259.0,0.016310645372562847
275857,3425,3548026,51962,163.0,0.010265000755705578
2494883,30975,32088861,477981,3562.0,0.22431860547130839
1606842,37506,38288040,333203,1584.0,0.09975313617814499
1000819,26838,26839491,195251,945.0,0.059511814197188775
432887,1075,1082740,90991,283.0,0.017822056526777166
356389,4425,4575627,70128,232.0,0.014610307824071743
